Date,TransactionDesc,Debit,Credit,Currency,Cardholder,TransactionType,Location
2017-12-13,JUNOON RESTRO GURGAON,1255.0,,INR,Rahul,Domestic,GURGAON
2017-12-16,POONAM SERVICE STATION GURGAON,,17.0,INR,Rahul,Domestic,GURGAON
2017-12-16,KABI BESPOKE BOUTIQUE GURGAON,220.0,,INR,Rahul,Domestic,GURGAON
2017-12-16,CLEARTRIP TRAVEL SERVIC MUMBAI,14849.0,,INR,Rahul,Domestic,MUMBAI
2017-12-21,INDIAN RAILWAY CATERINGNEW DELHI,1684.0,,INR,Rahul,Domestic,DELHI
2017-12-22,CLEARTRIP TRAVEL SERVIC MUMBAI,5205.0,,INR,Rahul,Domestic,MUMBAI
2017-12-22,MSW*BLISS HOSPITALITIE Delhi NCR,,3764.0,INR,Rahul,Domestic,NCR
2017-12-23,NIMITAYA HOTEL & RESOR GURGAON,3475.0,,INR,Rahul,Domestic,GURGAON
2017-12-24,BIKANERVALA (GURGAON U) GURGAON,278.0,,INR,Rahul,Domestic,GURGAON
2018-01-03,SRILANKANUPGRADE KATUNAYAKE,10.0,,EUR,Rahul,International,KATUNAYAKE
2018-01-14,HEALTHGUARD LIMITED KATUNAYAKE,,8.0,USD,Rahul,International,KATUNAYAKE
2018-01-14,FOOT RUB BERLIN,21.0,,EUR,Rahul,International,BERLIN
2018-01-20,California Games CALIFORNIA,101.0,,USD,Rahul,International,CALIFORNIA
2018-01-30,NewYorkShop NEWYORK,,199.0,USD,Rahul,International,NEWYORK
2018-02-08,EURO WINGS DUSSELDOR,10.0,,EUR,Rahul,International,DUSSELDOR
